2016-04-21 00:07:07.9117|INFO|AALifeWeb_SyncItemList| UserID:23556 | ItemAppID:1 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:1, CategoryTypeID:22, 3月工资, 2660.0, 2016-4-20 13:52:41, sr, CardID:0
2016-04-21 00:07:08.1929|INFO|AALifeWeb_SyncItemList| UserID:23556 | ItemAppID:2 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:2, CategoryTypeID:34, 其他, 7500.0, 2016-4-20 13:52:55, sr, CardID:0
2016-04-21 00:07:08.4898|INFO|AALifeWeb_SyncItemList| UserID:23556 | ItemAppID:3 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:3, CategoryTypeID:34, 王大勇还, 300.0, 2016-4-20 13:53:21, sr, CardID:0
2016-04-21 00:07:08.7711|INFO|AALifeWeb_SyncItemList| UserID:23556 | ItemAppID:4 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:4, CategoryTypeID:34, 生活费, 1000.0, 2016-4-20 13:53:52, zc, CardID:0
2016-04-21 00:07:08.9898|INFO|AALifeWeb_SyncItemList| UserID:23556 | ItemAppID:5 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:5, CategoryTypeID:12, 早餐, 14.0, 2016-4-20 23:32:04, zc, CardID:0
2016-04-21 00:07:09.3023|INFO|AALifeWeb_SyncItemList| UserID:23556 | ItemAppID:6 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:6, CategoryTypeID:18, 取地垫, 650.0, 2016-4-20 23:33:47, zc, CardID:0
2016-04-21 00:07:09.5523|INFO|AALifeWeb_SyncItemList| UserID:23556 | ItemAppID:7 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:7, CategoryTypeID:34, 给大江妈换钱, 500.0, 2016-4-20 23:58:39, zc, CardID:0
2016-04-21 00:07:09.8023|INFO|AALifeWeb_SyncItemList| UserID:23556 | ItemAppID:8 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:8, CategoryTypeID:34, 何正碧买鞋子, 60.0, 2016-4-20 23:59:36, sr, CardID:0
2016-04-21 00:07:10.0211|INFO|AALifeWeb_SyncItemList| UserID:23556 | ItemAppID:9 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:9, CategoryTypeID:34, 取款工行, 1000.0, 2016-4-21 0:04:06, sr, CardID:0
2016-04-21 00:07:10.3179|INFO|AALifeWeb_SyncItemList| UserID:23556 | ItemAppID:10 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:10, CategoryTypeID:34, 还二哥, 500.0, 2016-4-21 0:04:28, zc, CardID:0
2016-04-21 00:07:10.6148|INFO|AALifeWeb_SyncItemList| UserID:23556 | ItemAppID:11 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:11, CategoryTypeID:18, 垫付地板运费, 165.0, 2016-4-21 0:04:59, zc, CardID:0
2016-04-21 00:17:04.1148|INFO|AALifeWeb_SyncItemList| UserID:22868 | ItemAppID:494 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:494, CategoryTypeID:46, 压岁钱, 200.0, 2016-2-23 21:48:32, sr, CardID:0
2016-04-21 00:17:04.6148|INFO|AALifeWeb_SyncItemList| UserID:22868 | ItemAppID:495 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:495, CategoryTypeID:2, 喜来稀肉, 178.0, 2016-2-23 21:48:39, zc, CardID:0
2016-04-21 00:17:04.9117|INFO|AALifeWeb_SyncItemList| UserID:22868 | ItemAppID:496 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:496, CategoryTypeID:2, 特瑞特啤酒自助美食城, 85.6, 2016-2-4 21:43:10, zc, CardID:0
