2016-04-09 00:13:36.9375|INFO|AALifeWeb_SyncItemList| UserID:23610 | ItemAppID:153 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:153, CategoryTypeID:12, Sukin收入, 76.0, 2016-4-9 0:13:16, sr, CardID:0
2016-04-09 00:15:20.1562|INFO|AALifeWeb_SyncItemList| UserID:23610 | ItemAppID:154 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:154, CategoryTypeID:9, 的士费, 43.0, 2016-4-9 0:13:49, zc, CardID:0
2016-04-09 00:15:20.5625|INFO|AALifeWeb_SyncItemList| UserID:23610 | ItemAppID:155 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:155, CategoryTypeID:2, 午餐, 15.0, 2016-4-9 0:14:04, zc, CardID:0
2016-04-09 00:15:20.9375|INFO|AALifeWeb_SyncItemList| UserID:23610 | ItemAppID:156 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:156, CategoryTypeID:12, 面膜, 100.0, 2016-4-9 0:14:45, sr, CardID:0
2016-04-09 00:21:28.9375|INFO|AALifeWeb_SyncItemList| UserID:23610 | ItemAppID:157 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:157, CategoryTypeID:9, 滞纳金, 35.0, 2016-4-9 0:21:04, zc, CardID:0
2016-04-09 00:26:05.9218|INFO|AALifeWeb_SyncItemList| UserID:17624 | ItemAppID:1231 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:1231, CategoryTypeID:14, 淘宝宝宝霜, 24.0, 2016-4-8 0:25:05, zc, CardID:0
2016-04-09 00:31:22.6250|INFO|AALifeWeb_SyncItemList| UserID:23510 | ItemAppID:118 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:118, CategoryTypeID:56, 其他, 20.0, 2016-4-6 0:25:22, zc, CardID:2
2016-04-09 00:31:22.8281|INFO|AALifeWeb_SyncItemList| UserID:23510 | ItemAppID:119 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:119, CategoryTypeID:16, 话费充值, 49.85, 2016-4-5 0:26:32, zc, CardID:2
2016-04-09 00:31:23.1406|INFO|AALifeWeb_SyncItemList| UserID:23510 | ItemAppID:120 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:120, CategoryTypeID:34, 买菜, 6.0, 2016-4-7 0:30:39, zc, CardID:0
2016-04-09 00:51:45.0156|INFO|AALifeWeb_SyncItemList| UserID:17624 | ItemAppID:1232 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:1232, CategoryTypeID:6, 电话费, 97.5, 2016-4-9 0:46:02, zc, CardID:0
2016-04-09 00:51:45.2812|INFO|AALifeWeb_SyncItemList| UserID:17624 | ItemAppID:1233 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:1233, CategoryTypeID:6, 电话费, 9.7, 2016-4-9 0:50:42, zc, CardID:0
2016-04-09 01:26:24.9730|INFO|AALifeWeb_SyncItemList| UserID:10435 | ItemAppID:1287 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:1287, CategoryTypeID:15, 晚饭, 9.0, 2016-4-5 10:15:03, zc, CardID:0
2016-04-09 01:26:25.3323|INFO|AALifeWeb_SyncItemList| UserID:10435 | ItemAppID:1288 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:1288, CategoryTypeID:15, 午饭, 8.0, 2016-4-6 10:15:13, zc, CardID:0
2016-04-09 01:26:25.5511|INFO|AALifeWeb_SyncItemList| UserID:10435 | ItemAppID:1289 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:1289, CategoryTypeID:15, 晚饭, 9.0, 2016-4-6 10:15:44, zc, CardID:0
2016-04-09 01:26:25.8167|INFO|AALifeWeb_SyncItemList| UserID:10435 | ItemAppID:1290 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:1290, CategoryTypeID:15, 午饭, 8.7, 2016-4-7 20:42:45, zc, CardID:0
2016-04-09 01:26:26.0667|INFO|AALifeWeb_SyncItemList| UserID:10435 | ItemAppID:1291 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:1291, CategoryTypeID:15, 晚饭, 8.0, 2016-4-7 20:42:54, zc, CardID:0
