2016-04-04 00:04:22.5363|INFO|AALifeWeb_SyncItemList| UserID:19583 | ItemAppID:277 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:277, CategoryTypeID:3, 猴王红旗渠, 27.5, 2016-4-1 21:51:05, zc, CardID:0
2016-04-04 00:04:22.7238|INFO|AALifeWeb_SyncItemList| UserID:19583 | ItemAppID:278 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:278, CategoryTypeID:14, 回西安, 39.5, 2016-4-2 22:12:32, zc, CardID:0
2016-04-04 00:04:23.0363|INFO|AALifeWeb_SyncItemList| UserID:19583 | ItemAppID:279 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:279, CategoryTypeID:14, 公交, 1.0, 2016-4-2 22:12:44, zc, CardID:0
2016-04-04 00:04:23.2395|INFO|AALifeWeb_SyncItemList| UserID:19583 | ItemAppID:280 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:280, CategoryTypeID:12, 给晏充话费, 100.0, 2016-4-2 22:15:22, sr, CardID:0
2016-04-04 00:04:23.4582|INFO|AALifeWeb_SyncItemList| UserID:19583 | ItemAppID:281 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:281, CategoryTypeID:3, 经典火机燕京啤酒, 32.0, 2016-4-3 22:16:32, zc, CardID:0
2016-04-04 00:04:23.6301|INFO|AALifeWeb_SyncItemList| UserID:19583 | ItemAppID:282 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:282, CategoryTypeID:6, 洗发水拖鞋毛巾香皂牙膏牙刷纸巾, 111.0, 2016-4-3 22:18:11, zc, CardID:0
2016-04-04 00:04:23.8332|INFO|AALifeWeb_SyncItemList| UserID:19583 | ItemAppID:283 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:283, CategoryTypeID:1, 烤鸭, 15.0, 2016-4-3 22:19:38, zc, CardID:0
2016-04-04 00:04:23.9895|INFO|AALifeWeb_SyncItemList| UserID:19583 | ItemAppID:284 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:284, CategoryTypeID:1, 金针菇黄瓜, 5.0, 2016-4-3 22:20:14, zc, CardID:0
2016-04-04 00:04:24.2395|INFO|AALifeWeb_SyncItemList| UserID:19583 | ItemAppID:285 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:285, CategoryTypeID:14, 公交卡, 70.0, 2016-4-3 22:20:33, zc, CardID:0
2016-04-04 00:04:24.4582|INFO|AALifeWeb_SyncItemList| UserID:19583 | ItemAppID:286 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:286, CategoryTypeID:14, 保险, 20.0, 2016-4-2 22:21:22, zc, CardID:0
2016-04-04 00:04:24.6457|INFO|AALifeWeb_SyncItemList| UserID:19583 | ItemAppID:287 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:287, CategoryTypeID:6, 挂钩, 10.0, 2016-4-3 22:22:49, zc, CardID:0
