2016-04-10 00:03:22.7475|INFO|AALifeWeb_SyncItemList| UserID:23610 | ItemAppID:158 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:158, CategoryTypeID:9, 的士费, 32.0, 2016-4-9 14:52:57, zc, CardID:0
2016-04-10 00:03:24.0913|INFO|AALifeWeb_SyncItemList| UserID:23610 | ItemAppID:159 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:159, CategoryTypeID:1, 买菜, 10.0, 2016-4-9 14:53:12, zc, CardID:0
2016-04-10 00:03:25.8100|INFO|AALifeWeb_SyncItemList| UserID:23610 | ItemAppID:160 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:160, CategoryTypeID:2, 早餐, 4.0, 2016-4-9 14:53:27, zc, CardID:0
2016-04-10 00:27:54.8100|INFO|AALifeWeb_SyncItemList| UserID:23159 | ItemAppID:149 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:149, CategoryTypeID:9, 高速，买芝士，买甘蔗，买火柴棍等, 84.0, 2016-4-6 21:22:32, zc, CardID:0
2016-04-10 00:27:54.9819|INFO|AALifeWeb_SyncItemList| UserID:23159 | ItemAppID:150 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:150, CategoryTypeID:14, 逛大润发, 342.0, 2016-4-9 16:50:06, zc, CardID:0
2016-04-10 00:27:55.1538|INFO|AALifeWeb_SyncItemList| UserID:23159 | ItemAppID:151 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:151, CategoryTypeID:3, 一条烟, 85.0, 2016-4-8 16:50:26, zc, CardID:0
2016-04-10 00:27:55.4194|INFO|AALifeWeb_SyncItemList| UserID:23159 | ItemAppID:152 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:152, CategoryTypeID:10, 彭哥, 600.0, 2016-4-8 16:50:45, zc, CardID:0
2016-04-10 00:27:55.5757|INFO|AALifeWeb_SyncItemList| UserID:23159 | ItemAppID:153 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:153, CategoryTypeID:16, 修车, 2480.0, 2016-4-9 16:51:16, zc, CardID:0
2016-04-10 00:27:55.7319|INFO|AALifeWeb_SyncItemList| UserID:23159 | ItemAppID:154 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:154, CategoryTypeID:18, 花呗账单, 1063.43, 2016-4-10 0:33:49, zc, CardID:0
2016-04-10 00:58:59.2154|INFO|AALifeWeb_SyncItemList| UserID:10435 | ItemAppID:1300 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:1300, CategoryTypeID:15, 夜宵, 5.0, 2016-4-9 0:58:20, zc, CardID:0
2016-04-10 01:10:06.5862|INFO|AALifeWeb_SyncItemList| UserID:23306 | ItemAppID:200 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:200, CategoryTypeID:4, 卖巴拉达晚, 430.0, 2016-4-9 1:09:58, sr, CardID:0
2016-04-10 01:24:11.3151|INFO|AALifeWeb_SyncLoginQQNew| UserInfo -> UserID:0, sjqq95143, QAQ妖妖, http://q.qlogo.cn/qqapp/100761541/2F1FC59823763DB4787443BA009004FF/100, sjqq_tx, IsUpdate:1
2016-04-10 01:24:11.3151|INFO|AALifeWeb_SyncLoginQQNew| OAuthInfo -> OAuthID:0, 2F1FC59823763DB4787443BA009004FF, D2BDFE4359B452F47E3FE4793B8C6E6E, UserID:0, OldUserID:0, sjqq
2016-04-10 01:30:40.5314|INFO|AALifeWeb_SyncItemList| UserID:20256 | ItemAppID:493 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:493, CategoryTypeID:9, 充流量, 5.0, 2016-3-27 18:49:41, zc, CardID:0
