2016-04-19 00:12:35.9668|INFO|AALifeWeb_SyncItemList| UserID:19984 | ItemAppID:273 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:273, CategoryTypeID:14, 两房管理费, 478.0, 2016-4-18 17:51:15, zc, CardID:0
2016-04-19 00:12:36.3262|INFO|AALifeWeb_SyncItemList| UserID:19984 | ItemAppID:274 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:274, CategoryTypeID:1, 天猫超市乳鸽, 84.0, 2016-4-18 0:11:16, zc, CardID:0
2016-04-19 00:12:36.7012|INFO|AALifeWeb_SyncItemList| UserID:19984 | ItemAppID:275 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:275, CategoryTypeID:7, 天猫送两元充值抵用券给猪手机充10, 8.0, 2016-4-18 0:11:49, zc, CardID:0
2016-04-19 00:17:13.9824|INFO|AALifeWeb_SyncItemList| UserID:20864 | ItemAppID:1 | ItemWebID:0 | ItemInfo -> ItemID:686430, ItemAppID:1, CategoryTypeID:1, 超市, 58.0, 2016-4-2 14:31:43, zc, CardID:0
2016-04-19 00:17:14.2481|INFO|AALifeWeb_SyncItemList| UserID:20864 | ItemAppID:2 | ItemWebID:0 | ItemInfo -> ItemID:686431, ItemAppID:2, CategoryTypeID:1, 清啊, 100.0, 2016-4-2 14:31:53, zc, CardID:0
2016-04-19 00:17:14.6856|INFO|AALifeWeb_SyncItemList| UserID:20864 | ItemAppID:3 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:3, CategoryTypeID:1, 清明烧香, 175.0, 2016-4-3 14:35:14, zc, CardID:0
2016-04-19 00:17:15.0293|INFO|AALifeWeb_SyncItemList| UserID:20864 | ItemAppID:4 | ItemWebID:0 | ItemInfo -> ItemID:686433, ItemAppID:4, CategoryTypeID:1, 加油, 100.0, 2016-4-8 20:39:11, zc, CardID:0
2016-04-19 00:17:15.2793|INFO|AALifeWeb_SyncItemList| UserID:20864 | ItemAppID:5 | ItemWebID:0 | ItemInfo -> ItemID:686434, ItemAppID:5, CategoryTypeID:1, 买菜+超市, 90.0, 2016-4-10 22:19:00, zc, CardID:0
2016-04-19 00:17:15.5293|INFO|AALifeWeb_SyncItemList| UserID:20864 | ItemAppID:6 | ItemWebID:0 | ItemInfo -> ItemID:686435, ItemAppID:6, CategoryTypeID:1, 存农行, 100.0, 2016-4-13 15:10:49, zc, CardID:0
2016-04-19 00:17:15.7481|INFO|AALifeWeb_SyncItemList| UserID:20864 | ItemAppID:7 | ItemWebID:0 | ItemInfo -> ItemID:686436, ItemAppID:7, CategoryTypeID:1, 清啊, 100.0, 2016-4-13 15:10:59, zc, CardID:0
2016-04-19 00:17:16.0137|INFO|AALifeWeb_SyncItemList| UserID:20864 | ItemAppID:8 | ItemWebID:0 | ItemInfo -> ItemID:686437, ItemAppID:8, CategoryTypeID:1, 买菜, 39.0, 2016-4-13 15:11:26, zc, CardID:0
2016-04-19 00:17:16.2637|INFO|AALifeWeb_SyncItemList| UserID:20864 | ItemAppID:9 | ItemWebID:0 | ItemInfo -> ItemID:686438, ItemAppID:9, CategoryTypeID:1, 烧烤+利爪, 37.0, 2016-4-12 15:12:18, zc, CardID:0
