2016-06-10 00:03:31.2881|INFO|AALifeWeb_SyncItemList| UserID:14753 | ItemAppID:1776 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:1776, CategoryTypeID:9, 理发, 20.0, 2016-6-9 11:02:33, zc, CardID:0
2016-06-10 00:03:31.5224|INFO|AALifeWeb_SyncItemList| UserID:14753 | ItemAppID:1777 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:1777, CategoryTypeID:1, 早饭, 10.16, 2016-6-9 11:09:27, zc, CardID:0
2016-06-10 00:03:31.6943|INFO|AALifeWeb_SyncItemList| UserID:14753 | ItemAppID:1778 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:1778, CategoryTypeID:6, 手帕纸, 1.0, 2016-6-9 11:09:53, zc, CardID:0
2016-06-10 00:03:31.8974|INFO|AALifeWeb_SyncItemList| UserID:14753 | ItemAppID:1779 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:1779, CategoryTypeID:1, 粽子, 6.6, 2016-6-9 23:27:27, zc, CardID:0
2016-06-10 01:10:36.3609|INFO|AALifeWeb_SyncItemList| UserID:24064 | ItemAppID:107 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:107, CategoryTypeID:12, 公交卡充值, 15.0, 2016-5-22 1:16:02, zc, CardID:0
2016-06-10 01:10:36.6890|INFO|AALifeWeb_SyncItemList| UserID:24064 | ItemAppID:108 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:108, CategoryTypeID:3, 红双喜香烟, 16.0, 2016-5-23 3:56:37, zc, CardID:0
2016-06-10 01:10:37.0171|INFO|AALifeWeb_SyncItemList| UserID:24064 | ItemAppID:109 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:109, CategoryTypeID:9, 洗照片, 20.0, 2016-5-23 13:28:44, zc, CardID:0
2016-06-10 01:10:37.4078|INFO|AALifeWeb_SyncItemList| UserID:24064 | ItemAppID:110 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:110, CategoryTypeID:12, 川音嘉苑停车费, 5.0, 2016-5-23 23:06:37, zc, CardID:0
2016-06-10 01:10:37.8296|INFO|AALifeWeb_SyncItemList| UserID:24064 | ItemAppID:111 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:111, CategoryTypeID:12, 机场停车费, 4.0, 2016-5-26 0:29:46, zc, CardID:0
2016-06-10 01:10:38.2827|INFO|AALifeWeb_SyncItemList| UserID:24064 | ItemAppID:112 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:112, CategoryTypeID:12, 东苑停车费, 4.0, 2016-5-26 0:30:02, zc, CardID:0
2016-06-10 01:10:38.6109|INFO|AALifeWeb_SyncItemList| UserID:24064 | ItemAppID:113 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:113, CategoryTypeID:3, 红双喜香烟, 16.0, 2016-5-26 0:30:17, zc, CardID:0
