2016-04-17 00:06:39.8543|INFO|AALifeWeb_SyncItemList| UserID:24699 | ItemAppID:91 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:91, CategoryTypeID:32, 龚杰婚礼, 600.0, 2016-4-17 0:06:22, zc, CardID:0
2016-04-17 01:56:41.8001|INFO|AALifeWeb_SyncItemList| UserID:23610 | ItemAppID:186 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:186, CategoryTypeID:12, 木瓜膏+洗发水4支, 24.0, 2016-4-16 16:13:26, sr, CardID:0
2016-04-17 01:58:09.3777|INFO|AALifeWeb_SyncItemList| UserID:23610 | ItemAppID:187 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:187, CategoryTypeID:9, 的士费, 18.0, 2016-4-16 1:57:30, zc, CardID:0
2016-04-17 01:58:09.8464|INFO|AALifeWeb_SyncItemList| UserID:23610 | ItemAppID:188 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:188, CategoryTypeID:9, 封礼, 300.0, 2016-4-16 1:57:59, zc, CardID:0
2016-04-17 02:55:25.3408|INFO|AALifeWeb_SyncItemList| UserID:23610 | ItemAppID:189 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:189, CategoryTypeID:6, 护肤品, 229.0, 2016-4-15 2:54:16, zc, CardID:0
2016-04-17 02:55:25.7783|INFO|AALifeWeb_SyncItemList| UserID:23610 | ItemAppID:190 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:190, CategoryTypeID:4, 桂圆枸杞膏, 59.0, 2016-4-15 2:55:18, zc, CardID:0
2016-04-17 02:56:37.2001|INFO|AALifeWeb_SyncItemList| UserID:23610 | ItemAppID:189 | ItemWebID:0 | ItemInfo -> ItemID:753473, ItemAppID:189, CategoryTypeID:6, 护肤品3支, 229.0, 2016-4-15 2:56:05, zc, CardID:0
2016-04-17 07:03:31.7001|INFO|AALifeWeb_SyncLoginQQNew| UserInfo -> UserID:0, sjqq72199, 眷顾, http://q.qlogo.cn/qqapp/100761541/9B35509CF11B78AB3218135DD943C214/100, sjqq_360, IsUpdate:1
2016-04-17 07:03:31.7158|INFO|AALifeWeb_SyncLoginQQNew| OAuthInfo -> OAuthID:0, 9B35509CF11B78AB3218135DD943C214, 11B62E863E782B75ACB66B6F5079E6DB, UserID:0, OldUserID:0, sjqq
2016-04-17 07:08:38.9814|INFO|AALifeWeb_SyncItemList| UserID:25074 | ItemAppID:1 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:1, CategoryTypeID:9, XXX, 366.5, 2016-4-14 7:05:51, sr, CardID:0
2016-04-17 07:08:39.1845|INFO|AALifeWeb_SyncItemList| UserID:25074 | ItemAppID:2 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:2, CategoryTypeID:9, ***, 110.0, 2016-4-14 7:06:24, zc, CardID:0
