2016-04-22 00:06:55.5344|INFO|AALifeWeb_SyncNewUser| UserInfo -> UserID:0, 徐缓, 徐缓, user.gif, 5.6.1_tx, IsUpdate:1
2016-04-22 00:07:52.6750|INFO|AALifeWeb_SyncItemList| UserID:14753 | ItemAppID:1591 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:1591, CategoryTypeID:9, 洗澡, 1.08, 2016-4-18 0:01:41, zc, CardID:0
2016-04-22 00:07:53.0344|INFO|AALifeWeb_SyncItemList| UserID:14753 | ItemAppID:1592 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:1592, CategoryTypeID:1, 早点, 1.5, 2016-4-19 0:02:05, zc, CardID:0
2016-04-22 00:07:54.3781|INFO|AALifeWeb_SyncItemList| UserID:14753 | ItemAppID:1593 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:1593, CategoryTypeID:1, 早饭, 7.16, 2016-4-19 0:02:27, zc, CardID:0
2016-04-22 00:07:54.7531|INFO|AALifeWeb_SyncItemList| UserID:14753 | ItemAppID:1594 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:1594, CategoryTypeID:1, 下午饭, 7.16, 2016-4-19 0:06:53, zc, CardID:0
2016-04-22 00:07:55.0500|INFO|AALifeWeb_SyncItemList| UserID:14753 | ItemAppID:1595 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:1595, CategoryTypeID:1, 早点, 1.5, 2016-4-20 0:03:04, zc, CardID:0
2016-04-22 00:07:55.3625|INFO|AALifeWeb_SyncItemList| UserID:14753 | ItemAppID:1596 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:1596, CategoryTypeID:1, 早饭, 8.0, 2016-4-20 0:03:25, zc, CardID:0
2016-04-22 00:07:55.6906|INFO|AALifeWeb_SyncItemList| UserID:14753 | ItemAppID:1597 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:1597, CategoryTypeID:1, 下午饭, 7.16, 2016-4-20 0:03:42, zc, CardID:0
2016-04-22 00:07:56.0969|INFO|AALifeWeb_SyncItemList| UserID:14753 | ItemAppID:1598 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:1598, CategoryTypeID:9, 洗澡, 1.49, 2016-4-20 0:04:47, zc, CardID:0
2016-04-22 00:07:56.5031|INFO|AALifeWeb_SyncItemList| UserID:14753 | ItemAppID:1599 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:1599, CategoryTypeID:1, 早点, 1.5, 2016-4-21 0:07:11, zc, CardID:0
2016-04-22 00:07:56.8469|INFO|AALifeWeb_SyncItemList| UserID:14753 | ItemAppID:1600 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:1600, CategoryTypeID:1, 早饭, 8.6, 2016-4-21 0:05:49, zc, CardID:0
2016-04-22 00:07:57.1750|INFO|AALifeWeb_SyncItemList| UserID:14753 | ItemAppID:1601 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:1601, CategoryTypeID:1, 下午饭, 8.66, 2016-4-21 0:06:01, zc, CardID:0
2016-04-22 00:07:57.5031|INFO|AALifeWeb_SyncItemList| UserID:14753 | ItemAppID:1602 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:1602, CategoryTypeID:9, 洗澡, 1.85, 2016-4-21 0:06:36, zc, CardID:0
2016-04-22 00:07:57.8312|INFO|AALifeWeb_SyncItemList| UserID:14753 | ItemAppID:1603 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:1603, CategoryTypeID:4, 米多奇, 1.5, 2016-4-21 0:07:39, zc, CardID:0
2016-04-22 00:13:18.8156|INFO|AALifeWeb_SyncItemList| UserID:17624 | ItemAppID:1301 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:1301, CategoryTypeID:6, 淘宝地垫, 10.0, 2016-4-21 0:12:51, zc, CardID:0
2016-04-22 00:55:40.3156|INFO|AALifeWeb_SyncLoginQQNew| UserInfo -> UserID:0, sjqq11668, CC, http://q.qlogo.cn/qqapp/100761541/F1B5C093AF8339BE6EDDD53DFA66B9ED/100, sjqq_web, IsUpdate:1
2016-04-22 00:55:40.3156|INFO|AALifeWeb_SyncLoginQQNew| OAuthInfo -> OAuthID:0, F1B5C093AF8339BE6EDDD53DFA66B9ED, A0B995B23E7739B1EFD6E73258559280, UserID:0, OldUserID:0, sjqq
2016-04-22 00:56:00.0187|INFO|AALifeWeb_SyncItemList| UserID:25150 | ItemAppID:1 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:1, CategoryTypeID:12, 加班, 42.0, 2016-4-19 0:38:37, zc, CardID:0
2016-04-22 00:56:00.3625|INFO|AALifeWeb_SyncItemList| UserID:25150 | ItemAppID:2 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:2, CategoryTypeID:14, 公司到沙园, 14.4, 2016-4-19 0:39:13, zc, CardID:2
2016-04-22 00:56:00.7219|INFO|AALifeWeb_SyncItemList| UserID:25150 | ItemAppID:3 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:3, CategoryTypeID:16, 2月交通误餐费, 461.0, 2016-4-19 0:41:27, sr, CardID:2
2016-04-22 00:56:01.0344|INFO|AALifeWeb_SyncItemList| UserID:25150 | ItemAppID:4 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:4, CategoryTypeID:18, 午餐外卖, 16.5, 2016-4-20 13:03:37, zc, CardID:0
2016-04-22 00:56:01.3156|INFO|AALifeWeb_SyncItemList| UserID:25150 | ItemAppID:5 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:5, CategoryTypeID:10, 碰碰车*2, 30.0, 2016-4-20 13:00:59, zc, CardID:0
2016-04-22 00:56:01.5812|INFO|AALifeWeb_SyncItemList| UserID:25150 | ItemAppID:6 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:6, CategoryTypeID:8, 早餐米粉, 1.5, 2016-4-20 0:52:10, zc, CardID:0
2016-04-22 00:56:01.8156|INFO|AALifeWeb_SyncItemList| UserID:25150 | ItemAppID:7 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:7, CategoryTypeID:20, 3月工资23d, 1840.0, 2016-4-20 13:02:54, sr, CardID:2
2016-04-22 00:56:02.0656|INFO|AALifeWeb_SyncItemList| UserID:25150 | ItemAppID:8 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:8, CategoryTypeID:16, 打印, 80.0, 2016-4-20 14:15:39, sr, CardID:2
2016-04-22 00:56:02.3156|INFO|AALifeWeb_SyncItemList| UserID:25150 | ItemAppID:9 | ItemWebID:0 | ItemInfo -> ItemID:0, ItemAppID:9, CategoryTypeID:8, 连衣裙, 69.0, 2016-4-21 0:46:54, zc, CardID:0
